Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;163;61;109;121;0;0;XAV;23
05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;163;61;109;121;0;0;P.S.O.E.;19
05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;163;61;109;121;0;0;PACMA;1
05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;163;61;109;121;0;0;PCAS-TC-RC;1
05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;163;61;109;121;0;0;FE de las JONS;1
05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;163;61;109;121;0;0;PODEMOS-IU-AV;1
05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;163;61;109;121;0;0;Cs;0
05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;163;61;109;121;0;0;PYC (ANULADA);0
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PP;39
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;P.S.O.E.;10
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;VOX;10
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;XAV;2
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PYC (ANULADA);0
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PODEMOS-IU-AV;0
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PCAS-TC-RC;0
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;PACMA;0
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;FE de las JONS;0
05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;101;40;55;63;0;2;Cs;0
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PP;55
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;P.S.O.E.;32
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;VOX;19
